epoch,step,avg_recons_loss
1,100,1.4957872372865677
1,200,1.2341685569286347
2,100,0.9430506688356399
2,200,0.9230191487073899
3,100,0.8850884073972702
3,200,0.8743322634696961
4,100,0.8500575733184814
4,200,0.8418395048379899
5,100,0.8216505736112595
5,200,0.814766383767128
6,100,0.7911822891235352
6,200,0.786291996538639
7,100,0.7659250408411026
7,200,0.7601263365149498
8,100,0.7388408827781677
8,200,0.7321099054813385
9,100,0.7085163497924805
9,200,0.7052690643072128
10,100,0.6960218369960784
10,200,0.6886788222193718
11,100,0.6607858872413636
11,200,0.6602969878911972
12,100,0.6459264039993287
12,200,0.6409388625621796
13,100,0.6214390522241593
13,200,0.6179468956589699
14,100,0.6010345363616943
14,200,0.5992036670446396
15,100,0.582448405623436
15,200,0.5788238939642906
16,100,0.5826731848716736
16,200,0.5733871446549892
17,100,0.5492802035808563
17,200,0.545181802213192
18,100,0.5264902001619339
18,200,0.5273293480277061
19,100,0.5126510655879974
19,200,0.5113479754328728
20,100,0.4919655865430832
20,200,0.493886421918869
21,100,0.48170098185539245
21,200,0.4817172348499298
22,100,0.4765212109684944
22,200,0.47079816967248916
23,100,0.4557710710167885
23,200,0.4547389657795429
24,100,0.4432007893919945
24,200,0.43985392823815345
25,100,0.42303822815418246
25,200,0.4246654550731182
26,100,0.41251618921756744
26,200,0.4137752993404865
27,100,0.3993839234113693
27,200,0.3980687485635281
28,100,0.3894686269760132
28,200,0.3875971738994122
29,100,0.37103431940078735
29,200,0.3755592143535614
30,100,0.3642938360571861
30,200,0.3654965429008007
31,100,0.3559806615114212
31,200,0.3533589552342892
32,100,0.3431983980536461
32,200,0.34155509173870086
33,100,0.3910229653120041
33,200,0.36628842264413836
34,100,0.32508560359477995
34,200,0.32490139693021775
35,100,0.31701692432165146
35,200,0.31367105558514596
36,100,0.3006527233123779
36,200,0.3021074166893959
37,100,0.29406125098466873
37,200,0.29290894612669943
38,100,0.28528098642826083
38,200,0.28529177337884903
39,100,0.2857167536020279
39,200,0.28166564270853994
40,100,0.2704880088567734
40,200,0.268202725276351
41,100,0.26387964233756067
41,200,0.2629314941167831
42,100,0.2602494184672832
42,200,0.25742278307676314
43,100,0.2533719505369663
43,200,0.2498961615562439
44,100,0.24126069530844688
44,200,0.2404300670325756
45,100,0.2376139195263386
45,200,0.23595392145216465
46,100,0.2346928460896015
46,200,0.2320286026597023
47,100,0.2236970344185829
47,200,0.2231925592571497
48,100,0.2213692432641983
48,200,0.21964886017143725
49,100,0.21731894031167032
49,200,0.21494659788906575
50,100,0.20774391382932664
50,200,0.20872086144983767
51,100,0.20707879170775415
51,200,0.2044580163061619
52,100,0.19868763014674187
52,200,0.19765098080039023
53,100,0.1953572314977646
53,200,0.19551603756844999
54,100,0.1930034750699997
54,200,0.19076161809265613
55,100,0.18686772584915162
55,200,0.1854739597439766
56,100,0.18336827009916307
56,200,0.18253949351608753
57,100,0.18010133847594262
57,200,0.17885686360299588
58,100,0.17457071721553802
58,200,0.17455770030617715
59,100,0.17205151200294494
59,200,0.17155921444296837
60,100,0.169670886695385
60,200,0.16861311972141266
61,100,0.16607250437140464
61,200,0.16473223492503167
62,100,0.16232433408498764
62,200,0.16147924363613128
63,100,0.1621037757396698
63,200,0.1589488746225834
64,100,0.15650841802358628
64,200,0.15517349906265734
65,100,0.15400780588388444
65,200,0.1532272132486105
66,100,0.15058999106287957
66,200,0.1496359971910715
67,100,0.15588844537734986
67,200,0.15202034167945386
68,100,0.1472297877073288
68,200,0.14529327966272831
69,100,0.1435270093381405
69,200,0.1422250209748745
70,100,0.1783206857740879
70,200,0.16204245634377
71,100,0.1398542955517769
71,200,0.1389042990282178
72,100,0.2087801803648472
72,200,0.17921751998364926
73,100,0.14086403995752333
73,200,0.13817895356565713
74,100,0.13004149831831455
74,200,0.1277788757905364
75,100,0.12441271863877773
75,200,0.12306999638676644
76,100,0.13569865971803666
76,200,0.1300557890534401
77,100,0.12515073895454407
77,200,0.12301923241466284
78,100,0.12084388740360737
78,200,0.12022012159228325
79,100,0.12313193656504154
79,200,0.12096351284533739
80,100,0.12134025603532791
80,200,0.11976060640066861
81,100,0.1466304037719965
81,200,0.1341184490919113
82,100,0.11807256817817688
82,200,0.11673205200582742
83,100,0.11571144059300423
83,200,0.1142493986710906
84,100,0.11303419776260853
84,200,0.11200742337852716
85,100,0.11480331510305404
85,200,0.12875809252262116
86,100,0.12933616533875467
86,200,0.12408212270587683
87,100,0.11248022519052028
87,200,0.11120268281549216
88,100,0.10580525018274783
88,200,0.10448223602026702
89,100,0.10639110662043094
89,200,0.10392606373876333
90,100,0.10297935858368873
90,200,0.10216143928468227
91,100,0.1251377359032631
91,200,0.11470796715468168
92,100,0.10438292555510997
92,200,0.10281751450151205
93,100,0.10228352144360542
93,200,0.10042234089225531
94,100,0.10066647104918956
94,200,0.09902224108576775
95,100,0.09916670851409436
95,200,0.0984304716065526
96,100,0.10309294544160366
96,200,0.09992230594158173
97,100,0.10054352775216102
97,200,0.09880343813449144
98,100,0.09934122122824192
98,200,0.09788213185966015
99,100,0.12288360103964806
99,200,0.11123850025236606
100,100,0.09821708001196384
100,200,0.09657849594950677
